phase,module,document_type,fieldname,label,fieldtype,permlevel,sensitivity_class,recommended_read_roles,recommended_write_roles,mask_recommended,ignore_user_permissions,notes
Phase 2B,"Tender Setup, Submission & Opening",Tender,estimated_value,Estimated Value,Currency,2,Finance / Control,"Procurement Officer, Finance/Budget Officer, Accounting Officer / Approving Authority, Internal Auditor","Procurement Officer, Finance/Budget Officer",No,No,Keep away from portal users and most committees.
Phase 2B,"Tender Setup, Submission & Opening",Tender,publication_lock_ref,Publication Lock Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Immutable evidence.
Phase 2B,"Tender Setup, Submission & Opening",Tender Addendum,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2B,"Tender Setup, Submission & Opening",Tender Addendum,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2B,"Tender Setup, Submission & Opening",Tender Addendum,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Tender Addendum,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2B,"Tender Setup, Submission & Opening",Tender Clarification,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 2B,"Tender Setup, Submission & Opening",Tender Clarification,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2B,"Tender Setup, Submission & Opening",Tender Clarification,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Tender Clarification,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 2B,"Tender Setup, Submission & Opening",Tender Document Pack,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 2B,"Tender Setup, Submission & Opening",Tender Document Pack,method,Procurement Method,Select,0,Operational,Tender setup readers,Procurement Officer / Head of Procurement,No,No,Visible to all tender readers.
Phase 2B,"Tender Setup, Submission & Opening",Tender Document Pack,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2B,"Tender Setup, Submission & Opening",Tender Document Pack,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Tender Document Pack,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 2B,"Tender Setup, Submission & Opening",Tender Document Pack,internal_setup_note,Internal Setup Note,Long Text,1,Internal Control,"Procurement Officer, Head of Procurement, Internal Auditor",Procurement Officer,No,No,Not for supplier visibility.
Phase 2B,"Tender Setup, Submission & Opening",Tender Document Pack,estimated_value,Estimated Value,Currency,2,Finance / Control,"Procurement Officer, Finance/Budget Officer, Accounting Officer / Approving Authority, Internal Auditor","Procurement Officer, Finance/Budget Officer",No,No,Keep away from portal users and most committees.
Phase 2B,"Tender Setup, Submission & Opening",Tender Document Pack,publication_lock_ref,Publication Lock Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Immutable evidence.
Phase 2B,"Tender Setup, Submission & Opening",Tender Document Version,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2B,"Tender Setup, Submission & Opening",Tender Document Version,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Tender Document Version,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2B,"Tender Setup, Submission & Opening",Tender Document Version,hash_or_lock_ref,Hash / Lock Ref,Data,5,Audit / System,Internal Auditor,System only,No,No,Immutable evidence.
Phase 2B,"Tender Setup, Submission & Opening",Tender Eligibility Rule,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 2B,"Tender Setup, Submission & Opening",Tender Eligibility Rule,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2B,"Tender Setup, Submission & Opening",Tender Eligibility Rule,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Tender Eligibility Rule,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 2B,"Tender Setup, Submission & Opening",Tender Eligibility Rule,interpretation_note,Interpretation Note,Small Text,1,Internal Control,"Planning Authority, Head of Procurement, Internal Auditor",Planning Authority,No,No,Internal notes should not be broad-read.
Phase 2B,"Tender Setup, Submission & Opening",Tender Eligibility Rule,threshold_or_level,Threshold / Approval Level,Currency / Select,2,Finance / Control,"Planning Authority, Accounting Officer / Approving Authority, Internal Auditor",Planning Authority,No,No,Sensitive control values.
Phase 2C,"Evaluation, Award & Challenge",Tender Evaluation Scheme,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Tender Evaluation Scheme,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2C,"Evaluation, Award & Challenge",Tender Evaluation Scheme,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Tender Evaluation Scheme,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2B,"Tender Setup, Submission & Opening",Tender Lot,entity_or_company,Company / Entity,Link,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Subject to user permission by Company.
Phase 2B,"Tender Setup, Submission & Opening",Tender Lot,method,Procurement Method,Select,0,Operational,Tender setup readers,Procurement Officer / Head of Procurement,No,No,Visible to all tender readers.
Phase 2B,"Tender Setup, Submission & Opening",Tender Lot,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2B,"Tender Setup, Submission & Opening",Tender Lot,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Tender Lot,subject_or_title,Title / Subject,Data,0,Operational,All roles with document read,Owner role / workflow actor,No,No,Operational heading.
Phase 2B,"Tender Setup, Submission & Opening",Tender Lot,internal_setup_note,Internal Setup Note,Long Text,1,Internal Control,"Procurement Officer, Head of Procurement, Internal Auditor",Procurement Officer,No,No,Not for supplier visibility.
Phase 2B,"Tender Setup, Submission & Opening",Tender Lot,estimated_value,Estimated Value,Currency,2,Finance / Control,"Procurement Officer, Finance/Budget Officer, Accounting Officer / Approving Authority, Internal Auditor","Procurement Officer, Finance/Budget Officer",No,No,Keep away from portal users and most committees.
Phase 2B,"Tender Setup, Submission & Opening",Tender Lot,publication_lock_ref,Publication Lock Ref,Data,5,Audit / System,Internal Auditor,System-generated only,No,No,Immutable evidence.
Phase 2C,"Evaluation, Award & Challenge",Tender Notification Log,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2C,"Evaluation, Award & Challenge",Tender Notification Log,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2C,"Evaluation, Award & Challenge",Tender Notification Log,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2C,"Evaluation, Award & Challenge",Tender Notification Log,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2B,"Tender Setup, Submission & Opening",Tender Publication Record,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 2B,"Tender Setup, Submission & Opening",Tender Publication Record,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Tender Publication Record,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 2B,"Tender Setup, Submission & Opening",Tender Publication Record,hash_or_lock_ref,Hash / Lock Ref,Data,5,Audit / System,Internal Auditor,System only,No,No,Immutable evidence.
Phase 2B,"Tender Setup, Submission & Opening",Tender Security Rule,description,Description,Small Text,0,Operational,Readers of the master,Owner role,No,No,Non-sensitive descriptive field.
Phase 2B,"Tender Setup, Submission & Opening",Tender Security Rule,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2B,"Tender Setup, Submission & Opening",Tender Security Rule,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Tender Security Rule,title_or_name,Title / Name,Data,0,Operational,Readers of the master,Owner role,No,No,Reference identity.
Phase 2B,"Tender Setup, Submission & Opening",Tender Security Rule,interpretation_note,Interpretation Note,Small Text,1,Internal Control,"Planning Authority, Head of Procurement, Internal Auditor",Planning Authority,No,No,Internal notes should not be broad-read.
Phase 2B,"Tender Setup, Submission & Opening",Tender Security Rule,threshold_or_level,Threshold / Approval Level,Currency / Select,2,Finance / Control,"Planning Authority, Accounting Officer / Approving Authority, Internal Auditor",Planning Authority,No,No,Sensitive control values.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission,supplier_ref,Supplier,Link,0,Operational,Supplier user + internal reviewers,Supplier user or system,No,No,Row-level permission should key off Supplier.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission,portal_note,Portal Note,Long Text,1,Internal Control,"Supplier user, internal reviewers",Supplier user / internal reviewer,No,No,Administrative remarks.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission,security_reference,Security Reference,Data,2,Finance / Control,"Opening Committee Member, Evaluation Committee Chair, Internal Auditor",System or supplier until close,No,No,Tender security handling.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission,sealed_payload_or_price,Sealed Payload / Price,Currency / Attach,3,Committee Confidential,"Opening Committee Member, Evaluation Committee Member, Evaluation Committee Chair, Tender Committee Secretary, Internal Auditor",System after close/open or supplier before deadline,No,No,Must not leak before opening.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission,opening_correction_note,Opening Correction Note,Long Text,4,Executive / Legal,"Opening Committee Member, Tender Committee Secretary, Internal Auditor",Opening Committee Member / Secretary,No,No,Used only during opening governance.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission,decrypt_or_forensic_ref,Decrypt / Forensic Ref,Data,5,Audit / System,"System Manager, Internal Auditor",System only,No,No,Restrict heavily.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Attachment,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Attachment,supplier_ref,Supplier,Link,0,Operational,Supplier user + internal reviewers,Supplier user or system,No,No,Row-level permission should key off Supplier.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Attachment,portal_note,Portal Note,Long Text,1,Internal Control,"Supplier user, internal reviewers",Supplier user / internal reviewer,No,No,Administrative remarks.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Attachment,security_reference,Security Reference,Data,2,Finance / Control,"Opening Committee Member, Evaluation Committee Chair, Internal Auditor",System or supplier until close,No,No,Tender security handling.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Attachment,sealed_payload_or_price,Sealed Payload / Price,Currency / Attach,3,Committee Confidential,"Opening Committee Member, Evaluation Committee Member, Evaluation Committee Chair, Tender Committee Secretary, Internal Auditor",System after close/open or supplier before deadline,No,No,Must not leak before opening.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Attachment,opening_correction_note,Opening Correction Note,Long Text,4,Executive / Legal,"Opening Committee Member, Tender Committee Secretary, Internal Auditor",Opening Committee Member / Secretary,No,No,Used only during opening governance.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Attachment,decrypt_or_forensic_ref,Decrypt / Forensic Ref,Data,5,Audit / System,"System Manager, Internal Auditor",System only,No,No,Restrict heavily.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Lot Response,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Lot Response,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Lot Response,supplier_ref,Supplier,Link,0,Operational,Supplier user + internal reviewers,Supplier user or system,No,No,Row-level permission should key off Supplier.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Lot Response,portal_note,Portal Note,Long Text,1,Internal Control,"Supplier user, internal reviewers",Supplier user / internal reviewer,No,No,Administrative remarks.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Lot Response,security_reference,Security Reference,Data,2,Finance / Control,"Opening Committee Member, Evaluation Committee Chair, Internal Auditor",System or supplier until close,No,No,Tender security handling.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Lot Response,sealed_payload_or_price,Sealed Payload / Price,Currency / Attach,3,Committee Confidential,"Opening Committee Member, Evaluation Committee Member, Evaluation Committee Chair, Tender Committee Secretary, Internal Auditor",System after close/open or supplier before deadline,No,No,Must not leak before opening.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Lot Response,opening_correction_note,Opening Correction Note,Long Text,4,Executive / Legal,"Opening Committee Member, Tender Committee Secretary, Internal Auditor",Opening Committee Member / Secretary,No,No,Used only during opening governance.
Phase 2B,"Tender Setup, Submission & Opening",Tender Submission Lot Response,decrypt_or_forensic_ref,Decrypt / Forensic Ref,Data,5,Audit / System,"System Manager, Internal Auditor",System only,No,No,Restrict heavily.
Phase 3,"Contract, Execution, Inspection & Financial Control",Termination Record,name,ID / Name,Data,0,Operational,All roles with document read,System-generated or creator role,No,No,Identity field stays at permlevel 0.
Phase 3,"Contract, Execution, Inspection & Financial Control",Termination Record,reference,Reference,Link / Data,0,Operational,All document readers,Owner role,No,No,Linkage.
Phase 3,"Contract, Execution, Inspection & Financial Control",Termination Record,status,Status,Select,0,Operational,All roles with document read,Workflow actors / owning business role,No,No,Workflow state at permlevel 0 so workflow can function.
Phase 3,"Contract, Execution, Inspection & Financial Control",Termination Record,internal_note,Internal Note,Long Text,1,Internal Control,Operational owner roles and Internal Auditor,Owner role,No,No,Internal comments.
Phase 3,"Contract, Execution, Inspection & Financial Control",Termination Record,amount_or_legal_exposure,Amount / Legal Exposure,Currency / Data,2,Finance / Legal,"Accounting Officer / Approving Authority, owner role, Internal Auditor",Owner role / Accounting Officer / Approving Authority,No,No,Restricted decision basis.
Phase 3,"Contract, Execution, Inspection & Financial Control",Termination Record,executive_note,Executive Note,Long Text,4,Executive / Legal,"Accounting Officer / Approving Authority, Head of Procurement, Internal Auditor",Accounting Officer / Approving Authority,No,No,Decision rationale.
